"Tool","year","answer","answer_ideal","answer_bvt"
"BVT",2018,28551,94.2152851108765,100
"BVT",2019,30706,94.2595776031434,100
"BVT",2020,38491,97.8717453213995,100
"BVT",2021,44322,98.1617647058823,100
"BVT",2022,50343,97.292439703154,100
"BVT",2023,52679,98.1060041716329,100
"BVT",2024,55735,97.7395482603816,100
"BVT",2025,58010,97.7257412398922,100
"GreatSPN",2018,9969,32.8966473072862,34.91646527267
"GreatSPN",2019,10546,32.3735265225933,34.3450791376278
"GreatSPN",2020,17483,44.4543327908869,45.4210075082487
"GreatSPN",2021,19994,44.2815379163714,45.1107801994495
"GreatSPN",2022,22377,43.2455936920223,44.449079315893
"GreatSPN",2023,22951,42.7424761620977,43.5676455513582
"GreatSPN",2024,25241,44.2638187429854,45.287521306181
"GreatSPN+red",2024,53372,93.5956790123457,95.7602942495739
"Ideal Tool",2018,30304,100,106.139890021365
"Ideal Tool",2019,32576,100,106.090014980786
"Ideal Tool",2020,39328,100,102.174534306721
"Ideal Tool",2021,45152,100,101.87265917603
"Ideal Tool",2022,51744,100,102.782909242596
"Ideal Tool",2023,53696,100,101.930560564931
"Ideal Tool",2024,57024,100,102.31272988248
"Ideal Tool",2025,59360,100,102.327184968109
"Irma.full",2018,13599,44.8752639915523,47.6305558474309
"Irma.struct",2018,13579,44.8092661034847,47.5605057616196
"ITS-LoLa",2020,38062,96.7809194467046,98.8854537424333
"ITS-LoLa",2023,51432,95.7836710369487,97.6328328176313
"ITS-Tools",2018,19915,65.7173970432946,69.7523729466569
"ITS-Tools",2019,20394,62.6043713163065,66.4169869080961
"ITS-Tools",2020,38077,96.8190602115541,98.9244238912993
"ITS-Tools",2021,43324,95.9514528703047,97.7482965570146
"ITS-Tools",2022,45846,88.6015769944341,91.0672784696979
"ITS-Tools",2023,50781,94.5712902264601,96.3970462613186
"ITS-Tools",2024,53582,93.9639450056117,96.1370772405132
"ITS-Tools",2025,56247,94.7557277628032,96.9608688157214
"ITS-Tools.M",2018,19356,63.8727560718057,67.7944730482295
"ITS-Tools.M",2019,19040,58.4479371316306,62.0074252589071
"LastYear-gold",2019,29630,90.9565324165029,96.495798866671
"LastYear-gold",2020,35909,91.3064483319772,93.2919383752046
"LastYear-gold",2021,43359,96.0289688164422,97.8272641126303
"LastYear-gold",2022,49266,95.211038961039,97.8606757642572
"LastYear-gold",2023,50228,93.5414183551847,95.3472920898271
"LastYear-gold",2024,53872,94.4725028058361,96.6573966089531
"LastYear-gold",2025,55754,93.9252021563342,96.1110153421824
"LoLA",2018,25998,85.7906546990496,91.0581065461805
"LoLA",2019,27392,84.0864440078585,89.207321044747
"LoLA",2021,38174,84.5455350815025,86.1287848021299
"LoLA",2023,44041,82.0191448152563,83.6025740807532
"LoLA",2024,45417,79.6454124579125,81.4873957118507
"LTSMin",2018,13148,43.3870116156283,46.0509264123849
"LTSMin",2023,24872,46.3200238379023,47.2142599517834
"LTSMin+red",2023,50252,93.5861144219309,95.3928510412119
"LTSMin+red",2024,52652,92.3330527497194,94.4684668520678
"M4M.full",2018,12244,40.4039070749736,42.8846625337116
"M4M.struct",2018,12808,42.2650475184794,44.8600749535918
"Marcie",2023,18507,34.4662544696067,35.1316463866057
"Marcie+red",2023,50353,93.7742103694875,95.5845782949562
"Smart",2020,12696,32.2823433685924,32.9843340001559
"Smart",2023,17973,33.4717669845054,34.1179597182938
"Smart+red",2023,49988,93.0944576877235,94.891702575979
"smpt",2021,23361,51.738571934798,52.7074590496819
"smpt",2022,45643,88.2092609771181,90.6640446536758
"smpt",2023,50240,93.5637663885578,95.3700715655195
"smpt",2024,52632,92.2979797979798,94.4325827576927
"smpt",2025,52032,87.654986522911,89.6948801930702
"SVSKit",2024,1296,2.27272727272727,2.3252893155109
"Tapaal",2018,27662,91.2816789862724,96.8862736856853
"Tapaal",2019,29851,91.6349459724951,97.2155279098547
"Tapaal",2020,35936,91.3751017087063,93.3620846431633
"Tapaal",2021,41894,92.7843727852587,94.5219078561437
"Tapaal",2022,48042,92.845547309833,95.429354627257
"Tapaal",2023,50628,94.2863528009535,96.1066079462404
"Tapaal",2024,53371,93.5939253647587,95.7585000448551
"Tapaal",2025,56483,95.1533018867924,97.3676952249612
